"id","country_id","parent_id:id","name"
"concelho_vieira_do_minho","Portugal","distrito_braga","Vieira do Minho"
"concelho_vila_nova_de_famalicao","Portugal","distrito_braga","Vila Nova de Famalicão"
"concelho_vila_verde","Portugal","distrito_braga","Vila Verde"
"concelho_vizela","Portugal","distrito_braga","Vizela"
"concelho_alfandega_da_fe","Portugal","distrito_braganca","Alfândega da Fé"
"concelho_braganca","Portugal","distrito_braganca","Bragança"
"concelho_carrazeda_de_ansiaes","Portugal","distrito_braganca","Carrazeda de Ansiães"
"concelho_freixo_de_espada_a_cinta","Portugal","distrito_braganca","Freixo de Espada à Cinta"
"concelho_macedo_de_cavaleiros","Portugal","distrito_braganca","Macedo de Cavaleiros"
"concelho_miranda_do_douro","Portugal","distrito_braganca","Miranda do Douro"
"concelho_mirandela","Portugal","distrito_braganca","Mirandela"
"concelho_mogadouro","Portugal","distrito_braganca","Mogadouro"
"concelho_torre_de_moncorvo","Portugal","distrito_braganca","Torre de Moncorvo"
"concelho_vila_flor","Portugal","distrito_braganca","Vila Flor"
"concelho_vimioso","Portugal","distrito_braganca","Vimioso"
"concelho_vinhais","Portugal","distrito_braganca","Vinhais"
"concelho_belmonte","Portugal","distrito_castelo_branco","Belmonte"
"concelho_castelo_branco","Portugal","distrito_castelo_branco","Castelo Branco"
"concelho_covilha","Portugal","distrito_castelo_branco","Covilhã"
"concelho_fundao","Portugal","distrito_castelo_branco","Fundão"
"concelho_idanha_a_nova","Portugal","distrito_castelo_branco","Idanha-a-Nova"
"concelho_oleiros","Portugal","distrito_castelo_branco","Oleiros"
"concelho_penamacor","Portugal","distrito_castelo_branco","Penamacor"
"concelho_proenca_a_nova","Portugal","distrito_castelo_branco","Proença-a-Nova"
"concelho_serta","Portugal","distrito_castelo_branco","Sertã"
"concelho_vila_de_rei","Portugal","distrito_castelo_branco","Vila de Rei"
"concelho_vila_velha_de_rodao","Portugal","distrito_castelo_branco","Vila Velha de Ródão"
"concelho_arganil","Portugal","distrito_coimbra","Arganil"
"concelho_cantanhede","Portugal","distrito_coimbra","Cantanhede"
"concelho_coimbra","Portugal","distrito_coimbra","Coimbra"
"concelho_condeixa_a_nova","Portugal","distrito_coimbra","Condeixa-a-Nova"
"concelho_figueira_da_foz","Portugal","distrito_coimbra","Figueira da Foz"
"concelho_gois","Portugal","distrito_coimbra","Góis"
"concelho_lousa","Portugal","distrito_coimbra","Lousã"
"concelho_mira","Portugal","distrito_coimbra","Mira"
"concelho_miranda_do_corvo","Portugal","distrito_coimbra","Miranda do Corvo"
"concelho_montemor_o_velho","Portugal","distrito_coimbra","Montemor-o-Velho"
"concelho_oliveira_do_hospital","Portugal","distrito_coimbra","Oliveira do Hospital"
"concelho_pampilhosa_da_serra","Portugal","distrito_coimbra","Pampilhosa da Serra"
"concelho_penacova","Portugal","distrito_coimbra","Penacova"
"concelho_penela","Portugal","distrito_coimbra","Penela"
"concelho_soure","Portugal","distrito_coimbra","Soure"
"concelho_tabua","Portugal","distrito_coimbra","Tábua"
"concelho_vila_nova_de_poiares","Portugal","distrito_coimbra","Vila Nova de Poiares"
"concelho_alandroal","Portugal","distrito_evora","Alandroal"
"concelho_arraiolos","Portugal","distrito_evora","Arraiolos"
"concelho_borba","Portugal","distrito_evora","Borba"
"concelho_estremoz","Portugal","distrito_evora","Estremoz"
"concelho_evora","Portugal","distrito_evora","Évora"
"concelho_montemor_o_novo","Portugal","distrito_evora","Montemor-o-Novo"
"concelho_mora","Portugal","distrito_evora","Mora"
"concelho_mourao","Portugal","distrito_evora","Mourão"
"concelho_portel","Portugal","distrito_evora","Portel"
"concelho_redondo","Portugal","distrito_evora","Redondo"
"concelho_reguengos_de_monsaraz","Portugal","distrito_evora","Reguengos de Monsaraz"
"concelho_vendas_novas","Portugal","distrito_evora","Vendas Novas"
"concelho_viana_do_alentejo","Portugal","distrito_evora","Viana do Alentejo"
"concelho_vila_vicosa","Portugal","distrito_evora","Vila Viçosa"
"concelho_albufeira","Portugal","distrito_faro","Albufeira"
"concelho_alcoutim","Portugal","distrito_faro","Alcoutim"
"concelho_aljezur","Portugal","distrito_faro","Aljezur"
"concelho_castro_marim","Portugal","distrito_faro","Castro Marim"
"concelho_faro","Portugal","distrito_faro","Faro"
"concelho_lagoa","Portugal","distrito_faro","Lagoa"
"concelho_lagos","Portugal","distrito_faro","Lagos"
"concelho_loule","Portugal","distrito_faro","Loulé"
"concelho_monchique","Portugal","distrito_faro","Monchique"
"concelho_olhao","Portugal","distrito_faro","Olhão"
"concelho_portimao","Portugal","distrito_faro","Portimão"
"concelho_sao_bras_de_alportel","Portugal","distrito_faro","São Brás de Alportel"
"concelho_silves","Portugal","distrito_faro","Silves"
"concelho_tavira","Portugal","distrito_faro","Tavira"
"concelho_vila_do_bispo","Portugal","distrito_faro","Vila do Bispo"
"concelho_vila_real_de_santo_antonio","Portugal","distrito_faro","Vila Real de Santo António"
"concelho_aguiar_da_beira","Portugal","distrito_guarda","Aguiar da Beira"
"concelho_almeida","Portugal","distrito_guarda","Almeida"
"concelho_celorico_da_beira","Portugal","distrito_guarda","Celorico da Beira"
"concelho_figueira_de_castelo_rodrigo","Portugal","distrito_guarda","Figueira de Castelo Rodrigo"
"concelho_fornos_de_algodres","Portugal","distrito_guarda","Fornos de Algodres"
"concelho_gouveia","Portugal","distrito_guarda","Gouveia"
"concelho_guarda","Portugal","distrito_guarda","Guarda"
"concelho_manteigas","Portugal","distrito_guarda","Manteigas"
"concelho_meda","Portugal","distrito_guarda","Mêda"
"concelho_pinhel","Portugal","distrito_guarda","Pinhel"
"concelho_sabugal","Portugal","distrito_guarda","Sabugal"
"concelho_seia","Portugal","distrito_guarda","Seia"
"concelho_trancoso","Portugal","distrito_guarda","Trancoso"
"concelho_vila_nova_de_foz_coa","Portugal","distrito_guarda","Vila Nova de Foz Coa"
"concelho_alcobaca","Portugal","distrito_leiria","Alcobaça"
"concelho_alvaiazere","Portugal","distrito_leiria","Alvaiázere"
"concelho_ansiao","Portugal","distrito_leiria","Ansião"
"concelho_batalha","Portugal","distrito_leiria","Batalha"
"concelho_bombarral","Portugal","distrito_leiria","Bombarral"
"concelho_caldas_da_rainha","Portugal","distrito_leiria","Caldas da Rainha"
"concelho_castanheira_de_pera","Portugal","distrito_leiria","Castanheira de Pera"
"concelho_figueiro_dos_vinhos","Portugal","distrito_leiria","Figueiró dos Vinhos"
"concelho_leiria","Portugal","distrito_leiria","Leiria"
"concelho_marinha_grande","Portugal","distrito_leiria","Marinha Grande"
"concelho_nazare","Portugal","distrito_leiria","Nazaré"
"concelho_obidos","Portugal","distrito_leiria","Óbidos"
"concelho_pedrogao_grande","Portugal","distrito_leiria","Pedrógão Grande"
"concelho_peniche","Portugal","distrito_leiria","Peniche"
"concelho_pombal","Portugal","distrito_leiria","Pombal"
"concelho_porto_de_mos","Portugal","distrito_leiria","Porto de Mós"
"concelho_alenquer","Portugal","distrito_lisboa","Alenquer"
"concelho_amadora","Portugal","distrito_lisboa","Amadora"
"concelho_arruda_dos_vinhos","Portugal","distrito_lisboa","Arruda dos Vinhos"
"concelho_azambuja","Portugal","distrito_lisboa","Azambuja"
"concelho_cadaval","Portugal","distrito_lisboa","Cadaval"
"concelho_cascais","Portugal","distrito_lisboa","Cascais"
"concelho_lisboa","Portugal","distrito_lisboa","Lisboa"
"concelho_loures","Portugal","distrito_lisboa","Loures"
"concelho_lourinha","Portugal","distrito_lisboa","Lourinhã"
"concelho_mafra","Portugal","distrito_lisboa","Mafra"
"concelho_odivelas","Portugal","distrito_lisboa","Odivelas"
"concelho_oeiras","Portugal","distrito_lisboa","Oeiras"
"concelho_sintra","Portugal","distrito_lisboa","Sintra"
"concelho_sobral_de_monte_agraco","Portugal","distrito_lisboa","Sobral de Monte Agraço"
"concelho_torres_vedras","Portugal","distrito_lisboa","Torres Vedras"
"concelho_vila_franca_de_xira","Portugal","distrito_lisboa","Vila Franca de Xira"
"concelho_alter_do_chao","Portugal","distrito_portalegre","Alter do Chão"
"concelho_arronches","Portugal","distrito_portalegre","Arronches"
"concelho_avis","Portugal","distrito_portalegre","Avis"
"concelho_campo_maior","Portugal","distrito_portalegre","Campo Maior"
"concelho_castelo_de_vide","Portugal","distrito_portalegre","Castelo de Vide"
"concelho_crato","Portugal","distrito_portalegre","Crato"
"concelho_elvas","Portugal","distrito_portalegre","Elvas"
"concelho_fronteira","Portugal","distrito_portalegre","Fronteira"
"concelho_gaviao","Portugal","distrito_portalegre","Gavião"
"concelho_marvao","Portugal","distrito_portalegre","Marvão"
"concelho_monforte","Portugal","distrito_portalegre","Monforte"
"concelho_nisa","Portugal","distrito_portalegre","Nisa"
"concelho_ponte_de_sor","Portugal","distrito_portalegre","Ponte de Sor"
"concelho_portalegre","Portugal","distrito_portalegre","Portalegre"
"concelho_sousel","Portugal","distrito_portalegre","Sousel"
"concelho_amarante","Portugal","distrito_porto","Amarante"
"concelho_baiao","Portugal","distrito_porto","Baião"
"concelho_felgueiras","Portugal","distrito_porto","Felgueiras"
"concelho_gondomar","Portugal","distrito_porto","Gondomar"
"concelho_lousada","Portugal","distrito_porto","Lousada"
"concelho_maia","Portugal","distrito_porto","Maia"
"concelho_marco_de_canaveses","Portugal","distrito_porto","Marco de Canaveses"
"concelho_matosinhos","Portugal","distrito_porto","Matosinhos"
"concelho_pacos_de_ferreira","Portugal","distrito_porto","Paços de Ferreira"
"concelho_paredes","Portugal","distrito_porto","Paredes"
"concelho_penafiel","Portugal","distrito_porto","Penafiel"
"concelho_porto","Portugal","distrito_porto","Porto"
"concelho_povoa_de_varzim","Portugal","distrito_porto","Póvoa de Varzim"
"concelho_santo_tirso","Portugal","distrito_porto","Santo Tirso"
"concelho_trofa","Portugal","distrito_porto","Trofa"
"concelho_valongo","Portugal","distrito_porto","Valongo"
"concelho_vila_do_conde","Portugal","distrito_porto","Vila do Conde"
"concelho_vila_nova_de_gaia","Portugal","distrito_porto","Vila Nova de Gaia"
"concelho_abrantes","Portugal","distrito_santarem","Abrantes"
"concelho_alcanena","Portugal","distrito_santarem","Alcanena"
"concelho_almeirim","Portugal","distrito_santarem","Almeirim"
"concelho_alpiarca","Portugal","distrito_santarem","Alpiarça"
"concelho_benavente","Portugal","distrito_santarem","Benavente"
"concelho_cartaxo","Portugal","distrito_santarem","Cartaxo"
"concelho_chamusca","Portugal","distrito_santarem","Chamusca"
"concelho_constancia","Portugal","distrito_santarem","Constância"
"concelho_coruche","Portugal","distrito_santarem","Coruche"
"concelho_entroncamento","Portugal","distrito_santarem","Entroncamento"
"concelho_ferreira_do_zezere","Portugal","distrito_santarem","Ferreira do Zêzere"
"concelho_golega","Portugal","distrito_santarem","Golegã"
"concelho_macao","Portugal","distrito_santarem","Mação"
"concelho_ourem","Portugal","distrito_santarem","Ourém"
"concelho_rio_maior","Portugal","distrito_santarem","Rio Maior"
"concelho_salvaterra_de_magos","Portugal","distrito_santarem","Salvaterra de Magos"
"concelho_santarem","Portugal","distrito_santarem","Santarém"
"concelho_sardoal","Portugal","distrito_santarem","Sardoal"
"concelho_tomar","Portugal","distrito_santarem","Tomar"
"concelho_torres_novas","Portugal","distrito_santarem","Torres Novas"
"concelho_vila_nova_da_barquinha","Portugal","distrito_santarem","Vila Nova da Barquinha"
"concelho_alcacer_do_sal","Portugal","distrito_setubal","Alcácer do Sal"
"concelho_alcochete","Portugal","distrito_setubal","Alcochete"
"concelho_almada","Portugal","distrito_setubal","Almada"
"concelho_barreiro","Portugal","distrito_setubal","Barreiro"
"concelho_grandola","Portugal","distrito_setubal","Grândola"
"concelho_moita","Portugal","distrito_setubal","Moita"
"concelho_montijo","Portugal","distrito_setubal","Montijo"
"concelho_palmela","Portugal","distrito_setubal","Palmela"
"concelho_santiago_do_cacem","Portugal","distrito_setubal","Santiago do Cacém"
"concelho_seixal","Portugal","distrito_setubal","Seixal"
"concelho_sesimbra","Portugal","distrito_setubal","Sesimbra"
"concelho_setubal","Portugal","distrito_setubal","Setúbal"
"concelho_sines","Portugal","distrito_setubal","Sines"
"concelho_arcos_de_valdevez","Portugal","distrito_viana_castelo","Arcos de Valdevez"
"concelho_caminha","Portugal","distrito_viana_castelo","Caminha"
"concelho_melgaco","Portugal","distrito_viana_castelo","Melgaço"
"concelho_moncao","Portugal","distrito_viana_castelo","Monção"
"concelho_paredes_de_coura","Portugal","distrito_viana_castelo","Paredes de Coura"
"concelho_ponte_da_barca","Portugal","distrito_viana_castelo","Ponte da Barca"
"concelho_ponte_de_lima","Portugal","distrito_viana_castelo","Ponte de Lima"
"concelho_valenca","Portugal","distrito_viana_castelo","Valença"
"concelho_viana_do_castelo","Portugal","distrito_viana_castelo","Viana do Castelo"
"concelho_vila_nova_de_cerveira","Portugal","distrito_viana_castelo","Vila Nova de Cerveira"
"concelho_alijo","Portugal","distrito_vila_real","Alijó"
