"distrito_id:id","id","name"
"distrito_coimbra","concelho_montemor_o_velho","Montemor-o-Velho"
"distrito_coimbra","concelho_oliveira_do_hospital","Oliveira do Hospital"
"distrito_coimbra","concelho_pampilhosa_da_serra","Pampilhosa da Serra"
"distrito_coimbra","concelho_penacova","Penacova"
"distrito_coimbra","concelho_penela","Penela"
"distrito_coimbra","concelho_soure","Soure"
"distrito_coimbra","concelho_tabua","Tábua"
"distrito_coimbra","concelho_vila_nova_de_poiares","Vila Nova de Poiares"
"distrito_evora","concelho_alandroal","Alandroal"
"distrito_evora","concelho_arraiolos","Arraiolos"
"distrito_evora","concelho_borba","Borba"
"distrito_evora","concelho_estremoz","Estremoz"
"distrito_evora","concelho_evora","Évora"
"distrito_evora","concelho_montemor_o_novo","Montemor-o-Novo"
"distrito_evora","concelho_mora","Mora"
"distrito_evora","concelho_mourao","Mourão"
"distrito_evora","concelho_portel","Portel"
"distrito_evora","concelho_redondo","Redondo"
"distrito_evora","concelho_reguengos_de_monsaraz","Reguengos de Monsaraz"
"distrito_evora","concelho_vendas_novas","Vendas Novas"
"distrito_evora","concelho_viana_do_alentejo","Viana do Alentejo"
"distrito_evora","concelho_vila_vicosa","Vila Viçosa"
"distrito_faro","concelho_albufeira","Albufeira"
"distrito_faro","concelho_alcoutim","Alcoutim"
"distrito_faro","concelho_aljezur","Aljezur"
"distrito_faro","concelho_castro_marim","Castro Marim"
"distrito_faro","concelho_faro","Faro"
"distrito_faro","concelho_lagoa","Lagoa"
"distrito_faro","concelho_lagos","Lagos"
"distrito_faro","concelho_loule","Loulé"
"distrito_faro","concelho_monchique","Monchique"
"distrito_faro","concelho_olhao","Olhão"
"distrito_faro","concelho_portimao","Portimão"
"distrito_faro","concelho_sao_bras_de_alportel","São Brás de Alportel"
"distrito_faro","concelho_silves","Silves"
"distrito_faro","concelho_tavira","Tavira"
"distrito_faro","concelho_vila_do_bispo","Vila do Bispo"
"distrito_faro","concelho_vila_real_de_santo_antonio","Vila Real de Santo António"
"distrito_guarda","concelho_aguiar_da_beira","Aguiar da Beira"
"distrito_guarda","concelho_almeida","Almeida"
"distrito_guarda","concelho_celorico_da_beira","Celorico da Beira"
"distrito_guarda","concelho_figueira_de_castelo_rodrigo","Figueira de Castelo Rodrigo"
"distrito_guarda","concelho_fornos_de_algodres","Fornos de Algodres"
"distrito_guarda","concelho_gouveia","Gouveia"
"distrito_guarda","concelho_guarda","Guarda"
"distrito_guarda","concelho_manteigas","Manteigas"
"distrito_guarda","concelho_meda","Mêda"
"distrito_guarda","concelho_pinhel","Pinhel"
"distrito_guarda","concelho_sabugal","Sabugal"
"distrito_guarda","concelho_seia","Seia"
"distrito_guarda","concelho_trancoso","Trancoso"
"distrito_guarda","concelho_vila_nova_de_foz_coa","Vila Nova de Foz Coa"
"distrito_leiria","concelho_alcobaca","Alcobaça"
"distrito_leiria","concelho_alvaiazere","Alvaiázere"
"distrito_leiria","concelho_ansiao","Ansião"
"distrito_leiria","concelho_batalha","Batalha"
"distrito_leiria","concelho_bombarral","Bombarral"
"distrito_leiria","concelho_caldas_da_rainha","Caldas da Rainha"
"distrito_leiria","concelho_castanheira_de_pera","Castanheira de Pera"
"distrito_leiria","concelho_figueiro_dos_vinhos","Figueiró dos Vinhos"
"distrito_leiria","concelho_leiria","Leiria"
"distrito_leiria","concelho_marinha_grande","Marinha Grande"
"distrito_leiria","concelho_nazare","Nazaré"
"distrito_leiria","concelho_obidos","Óbidos"
"distrito_leiria","concelho_pedrogao_grande","Pedrógão Grande"
"distrito_leiria","concelho_peniche","Peniche"
"distrito_leiria","concelho_pombal","Pombal"
"distrito_leiria","concelho_porto_de_mos","Porto de Mós"
"distrito_lisboa","concelho_alenquer","Alenquer"
"distrito_lisboa","concelho_amadora","Amadora"
"distrito_lisboa","concelho_arruda_dos_vinhos","Arruda dos Vinhos"
"distrito_lisboa","concelho_azambuja","Azambuja"
"distrito_lisboa","concelho_cadaval","Cadaval"
"distrito_lisboa","concelho_cascais","Cascais"
"distrito_lisboa","concelho_lisboa","Lisboa"
"distrito_lisboa","concelho_loures","Loures"
"distrito_lisboa","concelho_lourinha","Lourinhã"
"distrito_lisboa","concelho_mafra","Mafra"
"distrito_lisboa","concelho_odivelas","Odivelas"
"distrito_lisboa","concelho_oeiras","Oeiras"
"distrito_lisboa","concelho_sintra","Sintra"
"distrito_lisboa","concelho_sobral_de_monte_agraco","Sobral de Monte Agraço"
"distrito_lisboa","concelho_torres_vedras","Torres Vedras"
"distrito_lisboa","concelho_vila_franca_de_xira","Vila Franca de Xira"
"distrito_portalegre","concelho_alter_do_chao","Alter do Chão"
"distrito_portalegre","concelho_arronches","Arronches"
"distrito_portalegre","concelho_avis","Avis"
"distrito_portalegre","concelho_campo_maior","Campo Maior"
"distrito_portalegre","concelho_castelo_de_vide","Castelo de Vide"
"distrito_portalegre","concelho_crato","Crato"
"distrito_portalegre","concelho_elvas","Elvas"
"distrito_portalegre","concelho_fronteira","Fronteira"
"distrito_portalegre","concelho_gaviao","Gavião"
"distrito_portalegre","concelho_marvao","Marvão"
"distrito_portalegre","concelho_monforte","Monforte"
"distrito_portalegre","concelho_nisa","Nisa"
"distrito_portalegre","concelho_ponte_de_sor","Ponte de Sor"
"distrito_portalegre","concelho_portalegre","Portalegre"
"distrito_portalegre","concelho_sousel","Sousel"
"distrito_porto","concelho_amarante","Amarante"
"distrito_porto","concelho_baiao","Baião"
"distrito_porto","concelho_felgueiras","Felgueiras"
"distrito_porto","concelho_gondomar","Gondomar"
"distrito_porto","concelho_lousada","Lousada"
"distrito_porto","concelho_maia","Maia"
"distrito_porto","concelho_marco_de_canaveses","Marco de Canaveses"
